AxialCSA
CoronalCSA
SagittalCSA
HUMean
HUStd
HUKurtosis
HUSkewness
HUMode
HUMedian
HUMin
HUMax
leanAxialCSA
leanCoronalCSA
leanSagittalCSA
leanHUMean
leanHUStd
leanHUKurtosis
leanHUSkewness
leanHUMode
leanHUMedian
leanHUMin
leanHUMax
